Movie_ID,Title,Genre,Release_Year,Duration,Rating,IMDb_Rating,Votes,Director,Country,Language,Budget,Revenue,Date_Added,Age_Rating,Cast,Production_House
NF3832,Free Guy, Drama,1994,102 min,8.6,,194304,Quentin Tarantino,USA,Ger,$43490153,"1,187,112,991","June 1, 2022",TV-PG,"Brad Pitt, Ana de Armas, Julia Roberts",Blumhouse Productions
NF6413,Soul,Thriller | Thriller,2021,179mins,8.8,9.8,"862,600",Akira Kurosawa,India,Ger,233548251,,"April 11, 2021",R,"Brad Pitt, Tom Hanks",Columbia Pictures
NF1852,Thunder Force,action,2020,,6.0,7.9,840313,Tim Burton,India,english,118335662,,2023-05-07,NR,"Scarlett Johansson, Jodie Foster, Meryl Streep, Lupita Nyong'o",Warner Bros.
NF4430,The Wrong Missy!!!,"Comedy, Drama",1995,103mins,6.2,5.6,,Bong Joon-ho,U.S.,German,168724990,486001904,2020-05-05,NR,"Dwayne Johnson, Jodie Foster, Cate Blanchett, Meryl Streep",HBO Films
NF4060,The Green Mile,Documentary ,2020,87mins,7.2,15.0,,Bong Joon-ho,France,Japanese,$137454703,242234320,"November 9, 2023",G,"Al Pacino, Natalie Portman, Chris Evans",Netflix Originals
NF6004,The Godfather,Drama | Thriller,2001,,8.7,5.3,"643,476",James Cameron,UK,Japanese,201346911,1376028214,2021-12-20,G,"Al Pacino, Jodie Foster, Robert Downey Jr., Robert De Niro",Columbia Pictures
NF8220,Ascension,ADVENTURE,1994,116 min,8.4,7.7,1590264,Taika Waititi,India,spanish,168863001,"1,231,474,470",2016-03-04,PG,"Robert De Niro, Ana de Armas",Universal Pictures
NF4014,Collective,Crime  ,2016,172mins,4.2,,,David Lynch,U.S.,Jap,226567976,647762010,19/11/2015,TV-PG,"Adam Driver, Will Smith",Warner Bros.
NF9140,Halloween Kills,documentary,2023,149mins,5.7,,1454314,Park Chan-wook,Italy,Fre,104634025,,2018-06-22,G,"Will Smith, Michael B. Jordan, Jodie Foster",Netflix Originals
NF7473,Outer Banks,Comedy ,1993,1000,6.1,,,James Cameron,UK,FRENCH,111975381,,"August 7, 2024",NC-17,,Pixar Animation Studios
NF4112,Army of the Dead,"Sci-Fi,",2000,194mins,,3.5,999812,Sam Raimi,Germany,italian,3980960,1356254404,21/06/2017,TV-14,"Robert De Niro, Al Pacino, Ryan Reynolds, Charlize Theron",Columbia Pictures
NF7433,Rebecca, Thriller,1990,122mins,4.0,9.4,898537,Steven Spielberg,India,French,168771717,201523768,20181111,PG-13,"Viola Davis, Chris Evans, Lupita Nyong'o, Charlize Theron",Blumhouse Productions
NF2672,A Quiet Place Part II,fantasy,2019,117 min,6.9,3.8,743386,Paul Thomas Anderson,Japan,JAPANESE,,"210,151,179","November 13, 2015",TV-14,"Ryan Reynolds, Sandra Bullock",Focus Features
NF7271,Old, Horror,1994,195mins,6.2,3.7,904504,Park Chan-wook,U.K.,Hindi,,,20190801,PG-13,"Leonardo DiCaprio, Meryl Streep, Michael B. Jordan, Margot Robbie",A24
NF8277,Titane,"Animation, Drama",2021,,7.1,,"1,267,206",Tim Burton,Germany,ITALIAN,$15069391,1813257896,20220618,TV-PG,"Lupita Nyong'o, Adam Driver, Robert De Niro, Angelina Jolie",
NF7033,Red Notice,Documentary,2024,121,4.4,4.8,127045,Guillermo del Toro,South Korea,Japanese,"$168,434,618","1,601,147,047","July 7, 2020",R,"Morgan Freeman, Chris Evans, Dwayne Johnson, Lupita Nyong'o",A24
NF9575,,Comedy | Thriller,2009,128,6.0,8.4,,Tim Burton,Japan,japanese,72372322,1882372841,20201201,PG,"Tom Hanks, Dwayne Johnson, Ana de Armas",Blumhouse Productions
NF4760,Knives Out, Comedy,2004,154mins,4.1,8.9,1552634,Ridley Scott,Japan,Ita,138526447,1809484178,06/06/2021,NC-17,"Lupita Nyong'o, Robert Downey Jr., Florence Pugh, Denzel Washington",Netflix Originals
NF2549,Work It,"Drama, Drama",2019,,5.1,,734117,Wong Kar-wai,France,Ita,87096019,1564602677,20170120,PG-13,"Margot Robbie, Pedro Pascal, Chris Evans, Lupita Nyong'o",Lionsgate
NF8903,Fear Street Part Two 1978,"Crime,",1991,142,5.3,3.9,1781983,Peter Jackson,Germany,German,48448595,1646950737,14/09/2021,R,"Margot Robbie, Natalie Portman, Lupita Nyong'o",A24
NF6035,Kate,Drama ,2019,119,4.5,3.8,329058,David Fincher,Germany,Jap,63460706,1551647879,03/04/2022,R,"Robert De Niro, Timothée Chalamet",Walt Disney Pictures
NF7864,Tom and Jerry,"Animation,",2000,2h 53m,7.8,-1.0,1245597,Denis Villeneuve,Germany,japanese,,1541633366,20191102,TV-MA,"Ana de Armas, Chris Evans",Walt Disney Pictures
NF3843,The Prestige,"Fantasy, Drama",2024,90mins,4.4,,1408574,Greta Gerwig,South Korea,JAPANESE,$225756482,1496960801,15/02/2015,R,"Leonardo DiCaprio, Scarlett Johansson, Tom Hanks",Blumhouse Productions
NF1251,Room (Extended Collector's Edition with Bonus Features and Director's Commentary),Romance,2007,200,4.9,,290363,Stanley Kubrick,Germany,GERMAN,25170593,1222157638,"December 3, 2018",TV-PG,"Oscar Isaac, Angelina Jolie",
NF5276,Parasite, Sci-Fi,2010,151,9.2,-1.0,228632,Denis Villeneuve,Italy,ITALIAN,144361151,1654385572,10/08/2018,PG,"Jodie Foster, Dwayne Johnson",Focus Features
NF7025,Hell or High Water!!!, Fantasy,2017,134mins,5.1,8.7,1182939,David Lynch,Italy,german,$230762979,1012389071,11/09/2018,TV-14,"Tom Hanks, Cate Blanchett, Angelina Jolie, Al Pacino",Universal Pictures
NF7175,Time!!!,comedy,2004,73 min,8.0,8.6,1843179,Coen Brothers,Japan,GERMAN,26249400,630696461,"August 9, 2023",TV-PG,"Brad Pitt, Natalie Portman, Angelina Jolie, Al Pacino",A24
NF5494,CHERRY,ACTION,2000,121mins,9.2,-1.0,,,Germany,German,,,20230708,TV-14,,DreamWorks Animation
NF4061,The Suicide Squad, Horror,2017,120,4.6,7.2,"1,792,896",Zack Snyder,France,German,"$10,798,910","412,797,802","July 1, 2017",PG,"Michael B. Jordan, Zendaya",Amazon Studios
NF4516,The White Tiger,ROMANCE,2021,74mins,6.5,-1.0,"1,961,291",David Lynch,South Korea,JAPANESE,35486161,"58,172,576",20190224,G,"Pedro Pascal, Denzel Washington",Blumhouse Productions
NF8724,  Tom and Jerry  ,Action ,2016,148,4.3,6.1,1685751,Bong Joon-ho,U.S.A,Korean,4327256,1597020235,2016-09-04,TV-14,,Apple TV+
NF6774,Collective,Drama  ,2009,177mins,,,"326,605",James Gunn,Britain,JAPANESE,26239797,1403533017,2017-01-26,R,"Denzel Washington, Lupita Nyong'o, Michael B. Jordan, Florence Pugh",New Line Cinema
NF1014,Free Guy,Comedy,2002,,5.7,4.3,1142079,James Gunn,U.K.,german,123763398,54504081,20210420,TV-MA,"Cate Blanchett, Chris Evans, Zendaya, Denzel Washington",Lionsgate
NF5159,Candyman, Horror,1997,,8.4,6.2,,Stanley Kubrick,Japan,english,204397203,1840125284,2017-03-12,TV-14,"Morgan Freeman, Charlize Theron",New Line Cinema
NF6501,Cast Away,"Romance, Drama",2022,129mins,9.3,3.9,"1,819,576",Alfred Hitchcock,Germany,korean,91666862,"137,679,925",2020-02-16,NC-17,"Zendaya, Tom Hanks, Florence Pugh",New Line Cinema
NF8848,In the Heights!!!,COMEDY,2021,116mins,,4.2,1274795,Bong Joon-ho,U.K.,Ger,108546424,0,20230324,G,"Angelina Jolie, Michael B. Jordan, Tom Hanks, Robert De Niro",Universal Pictures
NF4165,The Trial of the Chicago 7,Sci-Fi/Comedy,2015,,5.2,,1109965,Peter Jackson,Italy,Ger,97888547,1556251120,2021-02-20,PG,"Al Pacino, Tom Hanks, Zendaya, Will Smith",DreamWorks Animation
NF5099,The Dark Knight,Sci-Fi ,1990,187mins,7.8,7.5,1689416,Alfred Hitchcock,Germany,Jap,85767652,"1,758,246,353",2022-04-20,TV-14,"Leonardo DiCaprio, Charlize Theron, Margot Robbie",Pixar Animation Studios
NF6956,Malcolm & Marie!!!,Adventure,1992,145mins,7.2,6.6,738543,Sam Raimi,Germany,French,"$50,985,637","1,838,528,909","March 20, 2018",TV-MA,"Al Pacino, Florence Pugh, Cate Blanchett",Apple TV+
NF9027,Birds of Prey,"Horror, Drama",1999,195,8.3,3.8,1157328,Sofia Coppola,United Kingdom,Fre,88953723,287833619,20181012,TV-PG,"Angelina Jolie, Charlize Theron, Lupita Nyong'o, Robert Downey Jr.",Universal Pictures
NF8338,Call Me By Your Name,Drama ,1999,131mins,8.4,,"1,931,838",Jane Campion,UK,Kor,173157284,"687,974,277",2017-08-25,TV-14,"Florence Pugh, Michael B. Jordan, Brad Pitt",Lionsgate
NF4847,Promising Young Woman,Crime  ,1992,71 min,5.7,5.5,1173583,Steven Spielberg,India,Spa,236158614,192617577,17/12/2020,NC-17,"Natalie Portman, Meryl Streep",Lionsgate
NF1647,BlacKkKlansman (Extended Collector's Edition with Bonus Features and Director's Commentary),ADVENTURE,2024,,4.3,6.6,1521541,J.J. Abrams,South Korea,Hin,229102087,1884143115,20170203,TV-PG,"Natalie Portman, Florence Pugh, Chris Evans, Oscar Isaac",Netflix Originals
NF3508,Hubie Halloween,THRILLER,2011,1000,8.6,5.0,"1,147,500",Wes Anderson,U.K.,english,86843944,308234859,2016-11-08,G,"Denzel Washington, Michael B. Jordan, Robert De Niro, Scarlett Johansson",Universal Pictures
NF5279,The Midnight Sky,"Comedy, Drama",2021,,6.7,8.9,"1,645,020",Ridley Scott,India,Spanish,50197007,,16/04/2024,TV-MA,"Ana de Armas, Cate Blanchett, Ryan Reynolds, Morgan Freeman",A24
NF4002,Venom Let There Be Carnage,"Documentary,",2014,159mins,9.2,4.9,"1,943,316",Tim Burton,Japan,ITALIAN,79272870,1782230829,"November 6, 2016",R,"Leonardo DiCaprio, Meryl Streep, Zendaya",Walt Disney Pictures
NF2251,The Hand of God,Comedy  ,1999,2h 49m,9.4,3.8,1524116,Francis Ford Coppola,South Korea,spanish,95152692,910272445,"December 14, 2022",TV-MA,"Chris Evans, Michael B. Jordan",Lionsgate
NF4600,Judas and the Black Messiah, Action,2014,141 min,6.6,4.4,930087,Bong Joon-ho,Japan,japanese,57847593,1379303208,20160603,NR,"Ana de Armas, Morgan Freeman",Columbia Pictures
NF4243,ONWARD,Adventure ,1992,174mins,9.3,7.2,1590576,Wes Anderson,U.K.,Japanese,,"1,761,785,761",2015-01-19,TV-14,"Al Pacino, Leonardo DiCaprio",Marvel Studios
NF7444,The Lord of the Rings: The Return of the King,"Crime,",2014,1h 54m,4.9,7.8,"248,345",J.J. Abrams,India,SPANISH,"$25,535,743",,"November 25, 2015",G,"Brad Pitt, Michael B. Jordan, Tom Hanks, Al Pacino",Blumhouse Productions
NF3847,Birds of Prey,Action/Comedy,2021,171mins,6.7,3.4,920786,Peter Jackson,Japan,Hindi,103043423,318872181,20180810,TV-PG,"Margot Robbie, Chris Evans, Scarlett Johansson",A24
NF9074,,Sci-Fi  ,1998,192,7.7,3.8,,Bong Joon-ho,U.S.A,JAPANESE,"$198,869,279",1976770552,2023-11-20,TV-PG,"Scarlett Johansson, Julia Roberts",Columbia Pictures
NF7891,Thunder Force,Drama  ,1991,1h 42m,6.4,7.4,1407486,Steven Spielberg,Italy,GERMAN,126941489,,"October 19, 2019",TV-14,"Morgan Freeman, Viola Davis",Paramount Pictures
NF9158,Jungle Cruise,"Action, Drama",1997,1000,4.5,3.5,777937,Greta Gerwig,Italy,english,195091589,1221591610,20150311,NC-17,"Viola Davis, Ana de Armas",Universal Pictures
NF5670,,Thriller/Comedy,1995,126 min,7.0,4.1,196490,James Cameron,Germany,Japanese,113208537,1135853858,"August 16, 2017",TV-MA,"Margot Robbie, Timothée Chalamet, Robert De Niro",DC Films
NF7503,Hell or High Water,Sci-Fi,2099,,7.1,4.8,705296,Sam Raimi,Germany,GERMAN,$134823406,769235519,2022-02-20,NC-17,"Timothée Chalamet, Pedro Pascal, Brad Pitt, Robert Downey Jr.",DreamWorks Animation
NF1443,Greyhound,Drama,1996,127mins,4.2,6.6,1477276,Alfonso Cuaron,United Kingdom,Spanish,46911352,799206997,20190922,PG,"Lupita Nyong'o, Morgan Freeman, Florence Pugh, Zendaya",Marvel Studios
NF3304,  The Unforgivable  ,Romance ,1995,2h 35m,5.4,,226664,Christopher Nolan,Italy,japanese,132860688,754363195,20230704,R,"Adam Driver, Cate Blanchett",Universal Pictures
NF7183,Forrest Gump,Romance,1991,1000,,7.6,"1,850,387",Ridley Scott,France,Spanish,29406157,693049104,"November 7, 2023",NR,"Florence Pugh, Robert De Niro, Scarlett Johansson",Blumhouse Productions
NF3881,A Star Is Born,Documentary/Comedy,1997,89 min,8.2,5.7,622365,Sam Raimi,India,Ger,$93045551,1139449272,22/11/2015,PG-13,"Denzel Washington, Cate Blanchett",Universal Pictures
NF5584,Sound of Metal,"Animation, Drama",2015,N/A,8.9,8.2,272790,Sam Raimi,usa,Fre,222229304,825749869,"March 19, 2015",PG,"Tom Hanks, Timothée Chalamet, Robert Downey Jr.",Netflix Originals
NF4210,Get Out,animation,2002,74 min,,4.1,715835,Jordan Peele,US,english,76882039,1103189124,"November 15, 2020",NR,"Jodie Foster, Cate Blanchett, Scarlett Johansson, Ana de Armas",Walt Disney Pictures
NF4803,Ron's Gone Wrong, Adventure,2099,167mins,6.3,4.4,,Alfonso Cuaron,Britain,German,"$146,525,076",1217015834,2018-04-27,PG,"Robert De Niro, Robert Downey Jr.",Marvel Studios
NF2298,The Power of the Dog,"Fantasy, Drama",2006,123mins,5.4,,"1,797,374",Rian Johnson,U.S.A,Hin,"$85,754,287",260989895,07/08/2015,PG,"Morgan Freeman, Leonardo DiCaprio",A24
NF4491,The Starling,comedy,2005,N/A,4.6,9.3,1927527,Zack Snyder,France,FRENCH,157656998,551094515,20200522,NC-17,"Adam Driver, Morgan Freeman, Viola Davis, Ryan Reynolds",Columbia Pictures
NF9254,ROOM,Documentary/Comedy,2009,105mins,6.6,8.9,1588625,Ridley Scott,Italy,Jap,26885490,1028135290,"March 22, 2021",R,,Marvel Studios
NF9623,A Beautiful Mind,Drama | Thriller,1997,70mins,8.5,4.2,1988945,Wong Kar-wai,India,FRENCH,161597961,1342262880,2015-10-24,NC-17,"Scarlett Johansson, Adam Driver, Zendaya, Florence Pugh",DC Films
NF8015,Phantom Thread!!!,Crime | Thriller,2002,138 min,,9.5,1573706,Chloé Zhao,Italy,GERMAN,148178817,774317678,20171016,TV-MA,"Brad Pitt, Charlize Theron, Julia Roberts",Marvel Studios
NF3742,Minari,Documentary,2003,124mins,4.6,7.8,1625826,Paul Thomas Anderson,United Kingdom,Eng,10670030,,26/03/2015,PG,"Scarlett Johansson, Robert Downey Jr., Zendaya, Michael B. Jordan",Marvel Studios
NF9724,Pulp Fiction,Documentary ,2011,137mins,8.2,8.6,896735,Quentin Tarantino,Japan,Hin,193564200,1114456884,13/03/2019,R,"Leonardo DiCaprio, Margot Robbie",Apple TV+
NF9979,Free Guy,Sci-Fi  ,2011,132mins,8.5,8.1,480076,Bong Joon-ho,France,Spa,46206114,1323232845,2016-06-01,TV-PG,"Will Smith, Oscar Isaac, Chris Evans",A24
NF3562,Cast Away,"Comedy,",2099,,7.2,4.3,755074,Chloé Zhao,Germany,KOREAN,$243351947,359210888,"June 3, 2017",NC-17,"Natalie Portman, Julia Roberts, Margot Robbie",Legendary Pictures
NF5490,Bridgerton,Thriller  ,1996,198,5.1,6.9,"337,811",Coen Brothers,Germany,Spanish,$211350811,,2022-12-27,PG-13,"Leonardo DiCaprio, Ryan Reynolds, Margot Robbie, Robert Downey Jr.",Blumhouse Productions
NF5907,Nomadland,Animation  ,1994,124 min,,5.7,1558049,James Cameron,Britain,Hindi,143056314,450511422,20200221,NR,"Florence Pugh, Natalie Portman, Sandra Bullock",Apple TV+
NF6490,,ROMANCE,1996,94 min,6.2,3.7,"670,682",Zack Snyder,USA,Jap,55745804,1115302832,20170305,NC-17,"Meryl Streep, Natalie Portman",New Line Cinema
NF9252,  Parasite  ,HORROR,2016,176,5.8,5.2,531430,Zack Snyder,usa,Jap,-500000,1440398190,2015-11-17,NC-17,"Viola Davis, Pedro Pascal, Julia Roberts, Margot Robbie",20th Century Studios
